Name,Origine,Destinazione,Total_Minu,Total_Mete
50033 - 28060,50033.0,28060.0,145.95,253297.16
50034 - 28060,50034.0,28060.0,179.77,292099.25
50035 - 28060,50035.0,28060.0,150.28,270659.98
50036 - 28060,50036.0,28060.0,170.05,281600.24
54017 - 28060,54017.0,28060.0,206.83,363201.02
54018 - 28060,54018.0,28060.0,215.45,373783.41
54019 - 28060,54019.0,28060.0,205.01,380468.61
54020 - 28060,54020.0,28060.0,220.85,381632.58
54021 - 28060,54021.0,28060.0,231.03,392744.72
44027 - 28060,44027.0,28060.0,222.45,431921.77
23097 - 28060,23097.0,28060.0,51.21,77906.75
23098 - 28060,23098.0,28060.0,43.63,65175.66
24001 - 28060,24001.0,28060.0,36.85,54661.71
24002 - 28060,24002.0,28060.0,31.91,48505.6
24003 - 28060,24003.0,28060.0,42.78,64170.86
24004 - 28060,24004.0,28060.0,29.5,42435.1
24005 - 28060,24005.0,28060.0,54.63,71606.83
24006 - 28060,24006.0,28060.0,28.27,38137.04
49012 - 28060,49012.0,28060.0,209.47,395840.96
52033 - 28060,52033.0,28060.0,164.31,312298.4
54001 - 28060,54001.0,28060.0,207.12,361315.87
54002 - 28060,54002.0,28060.0,200.85,353950.22
54003 - 28060,54003.0,28060.0,210.38,362470.29
54004 - 28060,54004.0,28060.0,218.8,378932.21
54005 - 28060,54005.0,28060.0,223.73,390348.25
54006 - 28060,54006.0,28060.0,211.4,364901.54
54007 - 28060,54007.0,28060.0,261.7,438785.51
44029 - 28060,44029.0,28060.0,208.63,396979.82
44031 - 28060,44031.0,28060.0,216.41,419311.35
44032 - 28060,44032.0,28060.0,220.82,413975.43
44034 - 28060,44034.0,28060.0,223.44,416478.96
44036 - 28060,44036.0,28060.0,209.91,397763.96
44038 - 28060,44038.0,28060.0,249.53,467858.29
44044 - 28060,44044.0,28060.0,246.05,434172.99
44045 - 28060,44045.0,28060.0,215.34,415239.43
44054 - 28060,44054.0,28060.0,223.14,418156.58
44056 - 28060,44056.0,28060.0,239.27,456760.25
44063 - 28060,44063.0,28060.0,215.41,404474.19
44064 - 28060,44064.0,28060.0,232.55,449577.74
24007 - 28060,24007.0,28060.0,48.95,74942.72
18077 - 28060,18077.0,28060.0,139.21,253060.77
18078 - 28060,18078.0,28060.0,138.08,257868.41
18079 - 28060,18079.0,28060.0,178.52,318321.89
18080 - 28060,18080.0,28060.0,147.26,267606.04
18081 - 28060,18081.0,28060.0,144.32,260431.82
18082 - 28060,18082.0,28060.0,144.42,265082.05
18083 - 28060,18083.0,28060.0,164.97,303659.16
18084 - 28060,18084.0,28060.0,145.03,271580.53
18085 - 28060,18085.0,28060.0,144.6,266512.22
18086 - 28060,18086.0,28060.0,148.36,281165.91
18087 - 28060,18087.0,28060.0,145.76,266328.92
18088 - 28060,18088.0,28060.0,168.0,304171.56
18089 - 28060,18089.0,28060.0,171.62,283717.99
18090 - 28060,18090.0,28060.0,157.79,294316.82
18091 - 28060,18091.0,28060.0,159.01,294798.7
18092 - 28060,18092.0,28060.0,139.15,261296.58
18093 - 28060,18093.0,28060.0,133.14,247044.91
18094 - 28060,18094.0,28060.0,149.28,268666.99
18095 - 28060,18095.0,28060.0,143.44,271674.92
52034 - 28060,52034.0,28060.0,157.96,288350.34
52035 - 28060,52035.0,28060.0,166.05,317245.24
52036 - 28060,52036.0,28060.0,173.87,326058.21
53001 - 28060,53001.0,28060.0,209.07,358957.92
55009 - 28060,55009.0,28060.0,212.17,399404.15
55010 - 28060,55010.0,28060.0,209.44,380806.86
56024 - 28060,56024.0,28060.0,237.09,447932.29
56025 - 28060,56025.0,28060.0,238.04,450534.45
56026 - 28060,56026.0,28060.0,240.51,430835.89
48012 - 28060,48012.0,28060.0,143.91,258042.47
40004 - 28060,40004.0,28060.0,121.57,219155.22
40005 - 28060,40005.0,28060.0,107.8,183755.61
43011 - 28060,43011.0,28060.0,230.07,414041.14
23087 - 28060,23087.0,28060.0,55.26,78469.58
18017 - 28060,18017.0,28060.0,157.17,283808.48
18018 - 28060,18018.0,28060.0,158.36,294715.39
18019 - 28060,18019.0,28060.0,144.32,266221.29
18020 - 28060,18020.0,28060.0,133.47,248643.56
48043 - 28060,48043.0,28060.0,112.48,209051.19
48044 - 28060,48044.0,28060.0,118.33,216165.07
48045 - 28060,48045.0,28060.0,129.12,243244.19
48002 - 28060,48002.0,28060.0,102.05,190837.8
48003 - 28060,48003.0,28060.0,131.88,246071.43
65152 - 28060,65152.0,28060.0,410.83,782048.87
65153 - 28060,65153.0,28060.0,443.7,845601.41
58083 - 28060,58083.0,28060.0,275.84,527796.04
58084 - 28060,58084.0,28060.0,278.53,523453.72
58085 - 28060,58085.0,28060.0,278.9,528680.29
58086 - 28060,58086.0,28060.0,271.04,514166.97
58087 - 28060,58087.0,28060.0,268.39,516275.73
58088 - 28060,58088.0,28060.0,267.02,514929.61
58089 - 28060,58089.0,28060.0,278.86,524593.81
58090 - 28060,58090.0,28060.0,285.17,540826.87
66057 - 28060,66057.0,28060.0,300.74,575341.72
66058 - 28060,66058.0,28060.0,276.8,531501.24
66059 - 28060,66059.0,28060.0,269.91,513971.07
66060 - 28060,66060.0,28060.0,278.26,533467.46
66061 - 28060,66061.0,28060.0,319.1,598149.45
66062 - 28060,66062.0,28060.0,275.49,532869.0
